month,insertions,deletions,net_churn
2021-10,29802,9528,20274
2021-11,82399,33986,48413
2021-12,29580,21119,8461
2022-01,211072,73097,137975
2022-02,20326,7906,12420
2022-03,16279,11994,4285
2022-04,9862,4336,5526
2022-05,20141,9003,11138
2022-06,243529,77718,165811
2022-07,3651,2447,1204
2022-08,4851,2554,2297
2022-09,6386,2902,3484
2022-10,6496,5022,1474
2022-11,13250,5790,7460
2022-12,11334,5122,6212
2023-01,32454,22707,9747
2023-02,16776,11912,4864
2023-03,6444,6068,376
2023-04,12715,6785,5930
2023-05,294621,95786,198835
2023-06,43610,41645,1965
2023-07,30762,22437,8325
2023-08,64532,50657,13875
2023-09,25424,34945,-9521
2023-10,274255,213366,60889
2023-11,42770,18750,24020
2023-12,62831,25435,37396
2024-01,44183,17151,27032
2024-02,60053,44143,15910
2024-03,16048,36424,-20376
2024-04,10881,10674,207
2024-05,18143,8963,9180
2024-06,20275,10290,9985
2024-07,30134,16241,13893
2024-08,40609,23834,16775
2024-09,449738,184343,265395
2024-10,52989,25571,27418
2024-11,45727,22871,22856
2024-12,19181,11612,7569
2025-01,33291,19567,13724
2025-02,7000,3049,3951
2025-03,11632,5950,5682
2025-04,12911,12096,815
2025-05,1301,1100,201
